ACCIONA,173.900,-1.86,-3.30,1.16,177.750,172.350,51202,9540,16:19,04/17
ACCIONA ENER,32.940,-3.51,-1.20,-8.85,34.600,32.600,240692,10846,16:19,04/17
ACERINOX,9.764,0.43,0.04,8.83,9.810,9.690,258662,2642,16:19,04/17
ACS,31.010,0.52,0.16,17.86,31.100,30.760,160949,8812,16:19,04/17
AENA,153.200,0.23,0.35,30.61,153.400,152.550,19488,22980,16:19,04/17
AMADEUS IT GROUP,62.200,0.35,0.22,28.12,62.700,61.960,128772,28021,16:19,04/17
ARCELORMITTAL,27.415,0.61,0.17,11.49,27.590,27.180,145638,24065,16:19,04/17
BANCO SABADELL,1.069,3.64,0.04,21.37,1.071,1.040,17281830,6015,16:19,04/17
BANKINTER,5.776,1.83,0.10,-6.23,5.788,5.710,1320668,5192,16:19,04/17
BBVA,6.924,3.16,0.21,28.96,6.926,6.772,5971869,44221,16:19,04/17
CAIXABANK,3.609,2.30,0.08,5.03,3.620,3.544,4783447,29091,16:19,04/17
CELLNEX TELECOM,38.040,-1.48,-0.57,23.03,38.900,38.020,194179,25842,16:19,04/17
COLONIAL,5.895,-0.25,-0.01,-1.91,5.945,5.895,392555,3181,16:19,04/17
ENAGAS,17.970,-0.14,-0.03,15.75,18.055,17.815,221290,4708,16:19,04/17
ENDESA,19.685,-0.58,-0.11,11.62,19.845,19.600,375603,20842,16:19,04/17
FERROVIAL,27.560,-0.14,-0.04,12.63,27.720,27.510,91388,20327,16:19,04/17
FLUIDRA,15.190,0.26,0.04,4.61,15.330,15.060,257765,2972,16:19,04/17
GRIFOLS,9.326,-2.10,-0.20,-13.41,9.600,9.300,619976,3974,16:19,04/17
IAG,1.712,0.94,0.02,23.16,1.735,1.702,5262898,8514,16:19,04/17
IBERDROLA,11.515,0.09,0.01,7.10,11.550,11.415,2544434,74230,16:19,04/17
INDITEX,31.480,0.03,0.01,26.68,31.590,31.270,428766,98112,16:19,04/17
INDRA,12.720,2.17,0.27,19.44,12.740,12.480,359142,2247,16:19,04/17
LOGISTA,23.440,0.69,0.16,3.20,23.520,23.200,84159,3112,16:19,04/17
MAPFRE,1.884,-1.67,-0.03,4.09,1.896,1.852,4582177,5802,16:19,04/17
MELIÁ HOTELS,5.985,0.42,0.03,30.73,6.030,5.935,575049,1319,16:19,04/17
MERLIN PROP,8.140,-0.37,-0.03,-7.24,8.195,8.130,280298,3824,16:19,04/17
NATURGY,28.000,-0.43,-0.12,15.18,28.200,27.820,51934,27149,16:19,04/17
REDEIA,16.215,-0.43,-0.07,1.32,16.360,16.060,272761,8774,16:19,04/17
REPSOL,13.690,-2.11,-0.30,-5.63,13.870,13.630,2490000,19883,16:19,04/17
ROVI,40.900,-0.15,-0.06,13.42,41.280,40.780,70538,2209,16:19,04/17
SACYR,3.022,0.00,0.00,18.78,3.036,3.018,878160,2015,16:19,04/17
SANTANDER,3.637,2.75,0.10,29.78,3.646,3.570,16172582,59843,16:19,04/17
SOLARIA,15.375,-0.97,-0.15,-10.19,15.760,15.290,360663,1921,16:19,04/17
TELEFÓNICA,4.084,0.32,0.01,20.65,4.114,4.065,2350413,23586,16:19,04/17
UNICAJA BANCO,1.038,1.17,0.01,5.56,1.045,1.028,4022669,2756,16:19,04/17
ACCIONA,173.900,-1.86,-3.30,1.16,177.750,172.350,51202,9540,16:19,04/17
ACCIONA ENER,32.940,-3.51,-1.20,-8.85,34.600,32.600,240692,10846,16:19,04/17
ACERINOX,9.764,0.43,0.04,8.83,9.810,9.690,258662,2642,16:19,04/17
ACS,31.010,0.52,0.16,17.86,31.100,30.760,160949,8812,16:19,04/17
AENA,153.200,0.23,0.35,30.61,153.400,152.550,19488,22980,16:19,04/17
AMADEUS IT GROUP,62.200,0.35,0.22,28.12,62.700,61.960,128772,28021,16:19,04/17
ARCELORMITTAL,27.415,0.61,0.17,11.49,27.590,27.180,145638,24065,16:19,04/17
BANCO SABADELL,1.069,3.64,0.04,21.37,1.071,1.040,17281830,6015,16:19,04/17
BANKINTER,5.776,1.83,0.10,-6.23,5.788,5.710,1320668,5192,16:19,04/17
BBVA,6.924,3.16,0.21,28.96,6.926,6.772,5971869,44221,16:19,04/17
CAIXABANK,3.609,2.30,0.08,5.03,3.620,3.544,4783447,29091,16:19,04/17
CELLNEX TELECOM,38.040,-1.48,-0.57,23.03,38.900,38.020,194179,25842,16:19,04/17
COLONIAL,5.895,-0.25,-0.01,-1.91,5.945,5.895,392555,3181,16:19,04/17
ENAGAS,17.970,-0.14,-0.03,15.75,18.055,17.815,221290,4708,16:19,04/17
ENDESA,19.685,-0.58,-0.11,11.62,19.845,19.600,375603,20842,16:19,04/17
FERROVIAL,27.560,-0.14,-0.04,12.63,27.720,27.510,91388,20327,16:19,04/17
FLUIDRA,15.190,0.26,0.04,4.61,15.330,15.060,257765,2972,16:19,04/17
GRIFOLS,9.326,-2.10,-0.20,-13.41,9.600,9.300,619976,3974,16:19,04/17
IAG,1.712,0.94,0.02,23.16,1.735,1.702,5262898,8514,16:19,04/17
IBERDROLA,11.515,0.09,0.01,7.10,11.550,11.415,2544434,74230,16:19,04/17
INDITEX,31.480,0.03,0.01,26.68,31.590,31.270,428766,98112,16:19,04/17
INDRA,12.720,2.17,0.27,19.44,12.740,12.480,359142,2247,16:19,04/17
LOGISTA,23.440,0.69,0.16,3.20,23.520,23.200,84159,3112,16:19,04/17
MAPFRE,1.884,-1.67,-0.03,4.09,1.896,1.852,4582177,5802,16:19,04/17
MELIÁ HOTELS,5.985,0.42,0.03,30.73,6.030,5.935,575049,1319,16:19,04/17
MERLIN PROP,8.140,-0.37,-0.03,-7.24,8.195,8.130,280298,3824,16:19,04/17
NATURGY,28.000,-0.43,-0.12,15.18,28.200,27.820,51934,27149,16:19,04/17
REDEIA,16.215,-0.43,-0.07,1.32,16.360,16.060,272761,8774,16:19,04/17
REPSOL,13.690,-2.11,-0.30,-5.63,13.870,13.630,2490000,19883,16:19,04/17
ROVI,40.900,-0.15,-0.06,13.42,41.280,40.780,70538,2209,16:19,04/17
SACYR,3.022,0.00,0.00,18.78,3.036,3.018,878160,2015,16:19,04/17
SANTANDER,3.637,2.75,0.10,29.78,3.646,3.570,16172582,59843,16:19,04/17
SOLARIA,15.375,-0.97,-0.15,-10.19,15.760,15.290,360663,1921,16:19,04/17
TELEFÓNICA,4.084,0.32,0.01,20.65,4.114,4.065,2350413,23586,16:19,04/17
